Id,UserId
2183,162
2186,908
2187,2107
2187,905
2193,824
2207,841
2208,712
2211,919
2225,927
2230,278
2231,928
2236,919
2237,897
2241,61
2244,929
2263,841
2268,841
2276,841
2277,13
2278,900
2279,935
2283,38
2285,287
2288,489
2316,666
2332,66
2334,966
2341,66
2343,227
2344,968
2345,1327
2345,41
2346,66
2348,86
2349,1204
2349,42
2351,970
2353,1327
2353,24
2365,666
2369,389
2369,1327
2372,172
2372,1327
2373,979
2373,919
2374,984
2375,1327
2375,35
2382,979
2382,6177
2383,979
2384,979
2385,979
2388,990
2392,990
2394,30
2411,897
2412,360
2418,6
2421,63
2437,998
2437,1327
2444,998
2450,471
2455,107
2458,1023
2458,633
2471,1035
2472,1035
2472,591
2482,1037
2484,76
2489,34
2509,552
2514,1060
2518,1327
2518,838
2521,389
2531,708
2532,708
2534,287
2535,389
2537,935
2537,1327
2540,1070
2543,1080
2553,1081
2556,935
2557,462
2560,1080
2564,987
2579,173647
2579,1093
2585,25936
2585,705
2594,219
2604,145
2605,1117
2606,837
2606,25936
2609,170
2610,1093
2612,11
2621,509
2629,666
2630,838
2633,25936
2633,1127
2639,25936
2639,607
2648,1138
2652,607
2655,27763
2655,145
2656,998
2660,163
2660,27763
2663,6
2663,27763
2671,1093
2673,389
2675,1154
2679,1161
2686,1173
2687,88
2690,471
2696,1996
2696,1182
2698,730
2703,471
2704,47
2706,1093
2707,1184
2708,1093
2710,958
2711,287
2712,666
2722,389
2724,1205
2724,11740
2725,342
2726,1207
2727,389
2727,27763
2729,1204
2732,1204
2734,211
2737,1205
2744,1327
2744,61
2745,287
2753,3787
2753,389
2754,979
2755,415
2759,1221
2763,1204
2764,66
2766,1204
2768,1204
2771,14
2775,1224
2779,1204
2781,170
2782,92
2785,841
2786,883
2786,189090
2787,841
2788,841
2790,78
2791,1204
2796,1236
2799,841
2800,14
2805,34
2809,1239
2811,567
2811,3270
2812,666
2818,1239
2819,1256
2823,61
2824,1256
2828,2471
2828,1256
2830,1256
2831,61
2832,666
2837,666
2838,47
2843,98
2848,1218
2848,2471
2849,285
2854,1215
2858,47
2860,1161
2867,921
2869,1810
2872,1067
2874,1204
2877,1315
2885,1245
2888,151
2891,6
2896,145
2901,935
2908,1256
2914,1340
2917,1340
2918,1256
2919,389
2923,1256
2923,1712
2924,389
2926,1340
2929,1256
2944,1256
2950,1256
2952,1352
2954,4
2960,220
2962,11
2970,940
2970,197917
2975,172
2978,415
2988,1373
2997,1373
3001,1373
3011,25
3012,1256
3017,1396
3032,1401
3038,666
3040,16535
3040,1401
3043,14
3045,666
3046,666
3047,24
3051,14
3052,34
3052,7911
3052,1996
3058,1301
3059,4
3060,1373
3061,666
3071,1416
3072,902
3074,841
3076,6
3080,866
3082,1388
3090,921
3091,226
3091,6
3092,24
3092,226
3093,935
3093,226
3094,1325
3098,90
3099,1294
3099,226
3101,34
3101,226
3102,666
3102,226
3103,1434
3103,226
3104,226
3104,92
3106,287
3107,89
3108,226
3108,389
3111,226
3111,74
3112,389
3115,1455
3117,226
3117,101
3125,1455
3128,1301
3135,486
3140,4
3142,226
3142,1455
3143,1464
3149,1236
3150,226
3150,897
3158,1131
3165,1483
3165,591
3168,591
3168,564
3172,552
3178,86771
3178,2471
3178,78557
3181,1095
3183,1037
3188,31260
3188,25936
3188,122
3190,226
3190,1500
3191,64
3191,31260
3191,25936
3193,562
3193,25936
3206,667
3206,226
3213,698
3215,1515
3215,226
3222,389
3223,389
3225,1037
3226,1522
3228,402
3230,1037
3231,226
3231,1223
3232,604
3235,785
3236,96
3237,1033
3238,1343
3238,38200
3238,591
3238,1069
3239,101
3240,47
3242,144
3243,1254
3245,855
3246,1525
3247,38625
3247,471
3248,855
3248,226
3249,782
3250,101
3254,1427
3255,1147
3257,160
3258,19
3259,855
3262,160
3262,591
3263,17
3264,160
3265,17
3267,92
3273,1540
3274,47
3278,24
3280,24
3281,935
3283,120
3284,17
3286,1553
3287,1384
3288,1554
3289,841
3289,147
3289,1327
3290,902
3293,509
3295,1427
3298,1554
3299,41
3299,1327
3301,1564
3304,34
3307,897
3308,160
3309,1573
3311,15954
3311,1572
3315,226
3315,1571
3316,1327
3316,1060
3319,1590
3321,378
3322,148
3323,1571
3327,47
3328,1586
3328,226
3329,6
3330,1060
3331,897
3333,1254
3336,1628
3337,591
3337,1454
3339,1571
3340,1571
3341,1454
3344,4132
3344,564
3345,59
3347,597
3349,1033
3350,13
3351,1204
3354,1633
3355,1223
3358,1641
3359,1641
3360,1573
3374,1579
3376,785
3379,1649
3380,88
3384,1596
3387,1579
3388,101
3396,1223
3401,479
3403,990
3405,1644
3408,1326
3410,1360
3415,1650
3416,460
3430,389
3431,63
3433,145
3434,1444
3436,902
3439,897
3443,1668
3444,1325
3449,1683
3451,93885
3452,162
3454,500
3455,92
3457,145
3459,122
3461,145
3463,591
3464,1674
3465,998
3466,552
3474,998
3475,998
3478,1045
3479,1033
3480,591
3480,1710
3487,1037
3499,1095
3503,1724
3503,226
3510,666
3511,782
3512,123
3517,591
3517,1732
3521,47
3522,666
3525,1254
3532,4
3545,1739
3548,1732
3563,712
3564,34
3570,1093
3572,855
3573,74
3574,1071
3580,1521
3587,1763
3593,305
3602,719
3611,1360
3613,849
3617,998
3619,1343
3624,935
3626,719
3627,1790
3628,1384
3633,866
3637,855
3643,855
3649,1071
3650,24
3651,64
3658,855
3661,136
3664,42
3668,160
3675,148
3676,1813
3679,1093
3680,719
3682,1327
3682,148
3686,66
3687,63
3706,1813
3706,591
3721,1843
3755,897
3757,1496
3760,1865
3761,500
3762,591
3763,1870
3767,1865
3768,1875
3770,500
3773,24
3779,1996
3779,1880
3780,1254
3781,1254
3785,1886
3787,114
3792,120
3802,1476
3831,1512
3832,11
3837,552
3839,1916
3839,4942
3841,1560
3845,61
3846,16535
3846,61
3847,1929
3854,378
3855,61
3859,1931
3860,1929
3862,616
3864,156
3865,1813
3866,657
3867,92
3869,855
3872,886
3873,101
3873,46514
3879,1887
3882,855
3896,101
3899,1620
3901,1373
3913,625
3917,1476
3922,61
3923,226
3924,287
3925,625
3926,1306
3927,17
3928,63
3930,287
3931,855
3932,855
3935,657
3937,855
3939,11
3940,1865
3944,1093
3945,63
3946,902
3947,24
3948,1905
3950,38
3958,468
3960,136
3961,719
3962,468
3966,170
3968,11
3969,1384
3969,2594
3971,607
3972,61
3973,666
3981,389
3989,966
3990,83
3995,25
3996,148
3999,1968
4005,921
4011,310
4012,1150
4015,148
4026,897
4033,1993
4035,189
4040,837
4045,841
4047,855
4052,837
4056,1894
4065,2016
4066,1254
4068,2030
4073,837
4074,2035
4077,2033
4079,2040
4084,1534
4087,1384
4092,657
4097,837
4098,2048
4100,2055
4101,1767
4108,2061
4109,719
4110,897
4117,935
4119,2074
4120,389
4120,16929
4122,2063
4124,2073
4125,855
4126,2073
4139,897
4139,591
4143,1093
4144,214
4145,735
4146,1767
4147,1093
4150,838
4153,1420
4157,47
4162,591
4162,1571
4164,1013
4165,2097
4169,331
4173,841
4175,1571
4186,389
4187,1571
4195,2107
4197,2120
4198,2122
4205,2126
4206,2124
4208,2127
4209,1204
4210,2127
4211,348
4214,2131
4215,6
4223,1865
4226,2140
4227,1521
4231,1865
4237,2157
4238,1539
4239,2159
4245,2163
4252,156
