Id,Score
2696,78
2698,137
2699,31
2700,14
2703,3
2704,11
2706,0
2707,27
2708,6
2710,20
2711,71
2712,2
2715,227
2718,13
2722,18
2724,7
2725,68
2726,65
2727,12
2729,19
2732,6
2734,5
2737,8
2742,12
2744,13
2745,20
2753,13
2754,9
2755,7
2756,16
2759,15
2763,10
2764,5
2766,4
2768,18
2771,11
2775,13
2776,33
2777,68
2779,18
2781,4
2782,65
2784,14
2785,2
2786,176
2787,27
2788,3
2790,0
2791,13
2796,6
2799,15
2800,28
2805,35
2806,8
2808,11
2809,2
2811,1
2812,1
2818,-1
2819,8
2823,6
2824,3
2828,16
2829,12
2830,8
2831,8
2832,1
2837,11
2838,9
2839,0
2843,2
2848,4
2849,6
2854,3
2858,3
2860,31
2867,3
2869,8
2872,24
2874,1
2877,2
2885,4
2888,4
2891,0
2896,1
2901,0
2908,3
2914,3
2917,6
2918,5
2919,13
2923,1
2924,2
2926,4
2929,6
2932,5
2934,11
2944,6
2948,38
2950,6
2952,14
2954,37
2959,18
2960,19
2962,3
2970,205
2975,5
2978,22
2988,-1
2989,0
2990,0
2997,-3
3001,22
3006,3
3011,1
3012,112
3017,1
3032,3
3033,6
3038,3
3040,9
3043,0
3045,1
3046,0
3047,1
3049,27
3051,32
3052,29
3058,3
3059,6
3060,-1
3061,3
3069,21
3071,24
3072,4
3074,5
3076,25
3080,4
3082,1
3090,4
3091,87
3092,28
3093,3
3094,1
3098,1
3099,3
3101,3
3102,8
3103,15
3104,1
3106,8
3107,23
3108,19
3111,3
3112,7
3115,19
3117,23
3125,34
3128,0
3135,2
3139,21
3140,9
3142,8
3143,0
3149,2
3150,11
3158,2
3162,0
3165,30
3168,1
3172,0
3173,4
3178,0
3181,4
3183,-1
3188,3
3190,1
3191,21
3193,26
3199,91
3206,1
3213,14
3214,3
3215,1
3222,6
3223,27
3225,41
3226,4
3228,0
3230,2
3231,4
3232,13
3233,201
3235,25
3236,39
3237,25
3238,217
3239,31
3240,3
3241,21
3242,8
3243,117
3244,0
3245,295
3246,7
3247,10
3248,2
3249,8
3250,3
3254,7
3255,1
3257,5
3258,5
3259,2
3262,7
3263,57
3264,3
3265,37
3267,103
3272,74
3273,10
3274,33
3275,60
3277,16
3278,7
3280,11
3281,21
3283,3
3284,34
3286,5
3287,0
3288,13
3289,11
3290,17
3293,18
3295,1
3298,2
3299,4
3301,3
3304,29
3307,2
3308,5
3309,1
3311,66
3314,5
3315,1
3316,-6
3317,40
3318,0
3319,1
3321,25
3322,1
3323,3
3325,2
3327,57
3328,2
3329,10
3330,4
3331,3
3333,12
3336,3
3337,20
3339,1
3340,1
3341,2
3344,7
3345,0
3347,2
3349,1
3350,2
3351,8
3354,12
3355,1
3358,1
3359,2
3360,0
3374,4
3376,5
3379,10
3380,7
3383,15
3384,2
3387,0
3388,1
3396,3
3401,3
3403,0
3405,2
3408,0
3410,4
3415,1
3416,2
3425,4
3430,4
3431,7
3433,44
3434,2
3436,4
3438,7
3439,16
3443,10
3444,2
3449,1
3450,28
3451,24
3452,6
3454,11
3455,0
3457,7
3459,12
3461,15
3463,2
3464,30
3465,4
3466,8
3469,17
3473,30
3474,20
3475,6
3478,0
3479,0
